"date","group","guide_age","guide_sex","bee","harvested","treeID","follow_GPStrackID","audio_trackID","audio_start_indication","audio_finish_woo","indication_to_woo","beetree_lat","beetree_lon","guiding_starttime","finalphasecalls_time","foundtree_time","dist_fp_start_to_bees","followdist_crowfly","follow_trackdist","GPSguiding_starttime","GPSguiding_endtime","avg_speed_kph","guiding_totaltime","finalphase_totaltime","initialphase_totaltime"
2018-05-18,"A",4,"F","NB","NA","PUFFADDER","CNS22","NA",NA,0.393310185185185,NA,-12.03495,37.994469,-2209042480,NA,-2209041218,NA,505,838,-2209042480,-2209041218,2.39,21.0333333333333,NA,NA
2018-06-06,"B",4,"F","apis","N","DBEES14","C3","C3_fp",0.667326388888889,0.669710648148148,0.00238425925925926,-12.142789,38.051227,-2209017581,-2209017543,-2209017337,11,53,73,-2209017581,-2209017337,1.1,4.06666666666667,3.43333333333333,0.633333333333333
2018-06-07,"B",4,"F","apis","N","DBEES15","C5","NA",NA,NA,NA,-12.08957,38.07404,-2209039652,NA,-2209039444,NA,87,116,-2209039652,-2209039444,2,3.46666666666667,NA,NA
2018-06-07,"B",4,"M","apis","N","DBEES16","C6","C6_fp",0.45875,0.459016203703704,0.000266203703703704,-12.08278,38.05814,-2209035994,-2209035564,-2209035541,30,289,327,-2209035994,-2209035533,2.56,7.55,0.383333333333333,7.16666666666667
2018-06-07,"B",1,"unk","apis","N","DBEES17","C7","C7_fp",0.490127314814815,0.491666666666667,0.00153935185185185,-12.08331,38.05722,-2209032853,-2209032853,-2209032720,102,113,150,-2209032885,-2209032656,2.36,2.21666666666667,2.21666666666667,0
2018-06-08,"B",4,"M","apis","Y","DBEES18","C10","C10_fp",0.465173611111111,0.466296296296296,0.00112268518518519,-12.11651,38.08491,-2209035009,-2209035009,-2209034912,54,88,106,-2209035009,-2209034814,1.95,1.61666666666667,1.61666666666667,0
2018-06-12,"B",3,"M","apis","Y","DBEES19","C13","C13_fp",0.471759259259259,0.475520833333333,0.00376157407407407,-12.1532,37.96627,-2209034773,-2209034440,-2209034115,106,241,318,-2209034781,-2209034115,1.74,10.9666666666667,5.41666666666667,5.55
2018-06-13,"B",4,"M","apis","Y","DBEES20","C14","C14_fp",0.343483796296296,0.3475,0.0040162037037037,-12.14819,37.95589,-2209045523,-2209045523,-2209045176,240,262,242,-2209045523,-2209045176,2.72,5.78333333333333,5.78333333333333,0
2018-06-13,"A",4,"M","GALAGO","NA","GALAGO","C14_BB","C14_BB",0.361226851851852,0.363888888888889,NA,-12.15027,37.95803,-2209043990,NA,-2209043760,NA,122,160,-2209043990,-2209043760,2.5,3.83333333333333,NA,NA
2018-06-13,"B",4,"M","apis","N","DBEES21","C16","C16_fp",0.457638888888889,0.465486111111111,0.00784722222222222,-12.08278,38.05814,-2209035660,NA,-2209034764,45,400,588,-2209035660,-2209034764,2.09,14.9333333333333,NA,NA
